td-1	赣榆法院首次协助台湾地区送达法律文书
td-2	建设高效协同国家创新体系
td-3	市规划局协助规划编制单位在伊春开展调研
td-4	六安石油:协助公安机关锁定肇事逃逸者
td-5	香港航行监察服务新系统协助外来船只顺利入港
td-6	发改委:京津冀协同发展要充分发挥政府引导作用
td-7	京津冀产业协同发展推进会、燕山-太行山片区部省部际联系会在
td-8	协助安徽做好暴雨 洪涝灾害救灾工作
td-9	江苏省38个部门对失信企业协同监管和联合惩戒
td-10	的哥爱管“闲事” 协助公安抓获犯罪嫌疑人近百人
td-11	从数字看协同
td-12	警车协助送卷
td-13	青岛九州商品交易中心“百万悬赏协助抓获攻击中心系统不法分子”
td-14	中科院微电子所所长叶甜春:产业链协同进步是集成电路发展的关键
td-15	火烧车事故说明会无共识 家属要求大陆专家协助侦办
td-16	药瘾更生人之家 协助重返社会
td-17	21个督查组赴太湖流域协助防汛抗洪
td-18	关键在于提高整体协同性
td-19	《火海凌云》现“女司机” 俄航专业指导协助上天
td-20	国家减灾委、民政部紧急启动国家Ⅳ级救灾应急响应 协助河南做好
td-21	文化协同,共画发展—京津冀名家邀请展走进北戴河
td-22	四平市国税地税共谱和谐曲
td-23	是否你的“计划”赶不上变化了,重点是父母如何协助,培养孩子的
td-24	巫山小快艇翻沉 重庆航道局协助确定沉船位置
td-25	日企推出智能化喂食器 协助各类进食障碍者
td-26	日本驻英大使表示将为英国脱欧提供协助
td-27	拒不履行协助执行义务 穗一公司吃百万高罚单
td-28	河北省水利厅增派技术骨干 分赴各地协助救灾
td-29	美国情报机构派逾千人赴巴西奥运 协助维持安全
td-30	协同发展激发生机活力
td-31	协同创新与招商引智 高明“两条腿”走路
td-32	:战略军工信息化转型持续加码 业务高成长性与协同效应可期
td-33	冀津机场将加强合作协同发展
td-34	失踪女孩一天之内找到,反电信网络诈骗中心平台协助“破案”
td-35	广州警方处置一起聚众滋事事件15人被带回协助调查
td-36	京津冀三地整合教育资源“齐步走”促协同发展
td-37	大学城抓获通缉犯 警方在高校便衣伏击队协助下破获的又一重大案件
td-38	地方扫描-协助完成復建 东县列队欢送
td-39	《剑网3》协助任务速刷攻略 少年行奇遇必备
td-40	上半年协助破案近3500宗
td-41	鲁冀边界启动环境执法联动 发生跨界污染相邻市要协助
